"","row_index","species2","family2","order2","avibase.id2","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle"
"79",79,"Buteo galapagoensis","Accipitridae","Accipitriformes","AVIBASE-4D9F58B4",5,2,3,0,4,40.9,26,13.9,19.3,77,402.6,176.8,229.2,43.6,235.2,1137.4,"Dunning",NA,"NO",NA,NA,"Woodland","1","1","Carnivore","Vertivore","Aerial"
"80",80,"Buteo hemilasius","Accipitridae","Accipitriformes","AVIBASE-92FFE8FF",5,2,3,0,4,40.7,23.1,14.7,18.8,80,467.2,179,290.2,38.2,251.4,1358.9,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Carnivore","Vertivore","Generalist"
"81",81,"Buteo jamaicensis","Accipitridae","Accipitriformes","AVIBASE-536A5157",5,2,3,0,4,37.6,22.9,14.4,20.2,80.9,402.8,139.9,270.8,34.1,212.2,1101.2,"Dunning",NA,"NO",NA,NA,"Woodland","2","3","Carnivore","Vertivore","Insessorial"
"82",82,"Buteo japonicus","Accipitridae","Accipitriformes","AVIBASE-3895BE56",4,2,2,0,4,34.5,19.4,11.7,15.8,77,395,163,232,41.2,212,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Vertivore","Insessorial"
"83",83,"Buteo lagopus","Accipitridae","Accipitriformes","AVIBASE-90B13ACF",7,3,4,0,4,34.5,20.2,11.7,15.9,72.3,428.3,180.3,248.5,42.1,240,949.8,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Carnivore","Vertivore","Insessorial"
"84",84,"Buteo lineatus","Accipitridae","Accipitriformes","AVIBASE-EA4D6C0B",5,2,2,1,4,33.1,20.3,11.8,16.3,74.1,319,106.9,212.8,33.4,172.8,603.7,"Dunning",NA,"NO",NA,NA,"Woodland","1","3","Carnivore","Vertivore","Aerial"
"85",85,"Buteo nitidus","Accipitridae","Accipitriformes","AVIBASE-4ECE179D",10,3,7,0,2,30.3,18.5,11.2,15.3,64.6,247.3,71.9,189.5,27.5,170.6,519,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"86",86,"Buteo oreophilus","Accipitridae","Accipitriformes","AVIBASE-5BFEFD9A",7,2,4,1,4,35.1,19.6,11.4,15.3,70.9,346,124.7,221.3,36,182.5,700,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"87",87,"Buteo plagiatus","Accipitridae","Accipitriformes","AVIBASE-943AA4FB",4,2,2,0,4,34.1,20.9,11.4,17.2,78.7,267.9,81.6,186.3,30.5,162,519,"DataFromSplit",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"88",88,"Buteo platypterus","Accipitridae","Accipitriformes","AVIBASE-79F3C681",13,6,7,0,4,28.3,17.8,11.1,14.4,53.4,277.7,103.7,177.4,36.9,178.8,453.7,"Dunning",NA,"NO",NA,NA,"Forest","2","3","Carnivore","Vertivore","Insessorial"
"89",89,"Buteo refectus","Accipitridae","Accipitriformes","AVIBASE-1029A4CA",3,2,1,0,3,33.4,20.4,11.8,16.1,64.9,346,125.7,220.3,36.3,173.3,759.1,"DataFromSplit",NA,"NO",NA,NA,"Grassland","3","2","Carnivore","Vertivore","Insessorial"
"90",90,"Buteo regalis","Accipitridae","Accipitriformes","AVIBASE-BA9191BC",5,2,3,0,4,41.3,23.8,18.3,20.2,81.6,431,179.2,254.5,41.3,240.6,1437.2,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Carnivore","Vertivore","Generalist"
"91",91,"Buteo ridgwayi","Accipitridae","Accipitriformes","AVIBASE-AE294FD9",4,1,3,0,2,26.5,14.9,9.8,14.2,65.8,222.5,73.9,148.6,33.4,144.2,315,"Updated_literature","Dunning (2021)","NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial"
"92",92,"Buteo rufinus","Accipitridae","Accipitriformes","AVIBASE-CC65921F",4,2,2,0,4,41.6,23.5,14,19.8,86.1,447.5,180.8,266.8,40.5,244.5,1166.2,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Carnivore","Vertivore","Generalist"
