"","row_index","species3","family3","order3","total.individuals","female","male","unknown","complete.measures","beak.length_culmen","beak.length_nares","beak.width","beak.depth","tarsus.length","wing.length","kipps.distance","secondary1","hand-wing.index","tail.length","mass","mass.source","mass.refs.other","inference","traits.inferred","reference.species","habitat","habitat.density","migration","trophic.level","trophic.niche","primary.lifestyle","min.latitude","max.latitude","centroid.latitude","centroid.longitude","range.size","species.status"
"59",59,"Aquila hastata","Accipitridae","Accipitriformes",4,2,2,0,4,44.4,26.4,14,18.9,90.2,456.5,191.8,264.8,42,208.5,1359.41,"Dunning",NA,"NO",NA,NA,"Woodland","2","2","Carnivore","Vertivore","Generalist",8.07,32.46,21.43,81.09882786,2409106.07,"Extant"
"60",60,"Aquila heliaca","Accipitridae","Accipitriformes",5,2,3,0,3,59,37.5,19.8,28.4,93.7,582.2,230.8,354,39.5,316.2,3125.21,"Dunning",NA,"NO",NA,NA,"Woodland","1","3","Carnivore","Vertivore","Generalist",35.35,59.75,49.87,70.89467263,9556213.62,"Extant"
"61",61,"Aquila nipalensis","Accipitridae","Accipitriformes",5,2,3,0,4,54.1,32.4,17.7,25.2,95.1,559.6,225.2,332,40.5,271.4,2714.33,"Dunning",NA,"NO",NA,NA,"Grassland","3","3","Carnivore","Vertivore","Aerial",31.2,53.52,43.73,85.14487607,6933240.92,"Extant"
"62",62,"Aquila pomarina","Accipitridae","Accipitriformes",9,4,5,0,4,47.3,26.9,13.4,19.5,91.6,459.3,184.8,271,40.6,213,1359.41,"Dunning",NA,"NO",NA,NA,"Forest","1","3","Carnivore","Vertivore","Generalist",35.81,60.04,49.67,26.84699665,2013351.79,"Extant"
"63",63,"Aquila rapax","Accipitridae","Accipitriformes",5,2,3,0,4,54,31.5,16.8,24.3,84.3,506.6,196,310,38.7,242.4,2236.06,"Dunning",NA,"NO",NA,NA,"Shrubland","2","3","Carnivore","Vertivore","Generalist",-34.31,36.93,3.92,30.52064278,17572054.36,"Extant"
"64",64,"Aquila verreauxii","Accipitridae","Accipitriformes",4,2,2,0,4,58.2,35.5,18.3,27.6,117.4,590.2,200.5,389.8,34,403.5,4195,"Dunning",NA,"NO",NA,NA,"Rock","3","1","Carnivore","Vertivore","Aerial",-34.84,30.44,-9.59,29.12494639,4020161.71,"Extant"
"65",65,"Aquila wahlbergi","Accipitridae","Accipitriformes",5,2,3,0,4,39.3,23.9,12.1,17.4,71.1,413.8,174.8,235.5,42.6,216.8,639.99,"Dunning",NA,"NO",NA,NA,"Shrubland","2","1","Carnivore","Vertivore","Insessorial",-29.95,18.69,-4.41,23.1002874,9578321.34,"Extant"
"66",66,"Aviceda cuculoides","Accipitridae","Accipitriformes",5,2,3,0,3,25.5,17.1,10.6,13.9,33,264.6,114,153.5,42.4,154.2,277,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-34.21,14.08,-3.74,21.07859072,10593852.38,"Extant"
"67",67,"Aviceda jerdoni","Accipitridae","Accipitriformes",5,1,3,1,4,45.5,21.7,12.9,15.9,34.7,302.8,76.9,222.9,25.6,211,363,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Carnivore","Omnivore","Insessorial",-5.95,28.63,6.17,107.442647,1592906.95,"Extant"
"68",68,"Aviceda leuphotes","Accipitridae","Accipitriformes",5,2,3,0,4,24.6,16.4,10.2,12.5,25,230.6,82,150.2,35.3,124,193.98,"Dunning",NA,"NO",NA,NA,"Forest","2","3","Carnivore","Invertivore","Insessorial",8.56,33.35,23.21,103.9564597,3528791.57,"Extant"
"69",69,"Aviceda madagascariensis","Accipitridae","Accipitriformes",5,2,3,0,4,28.6,20.1,11.6,16.2,38.7,314.2,106,207.5,33.8,169.2,277,"Inferred",NA,"YES","Body Mass","Aviceda cuculoides","Forest","1","1","Carnivore","Vertivore","Insessorial",-25.09,-11.95,-18.1,47.27487954,340717.9,"Extant"
"70",70,"Aviceda subcristata","Accipitridae","Accipitriformes",5,2,3,0,3,28.3,19.7,11.6,14.7,36.3,336.6,134.5,200,40.2,202,322.65,"Dunning",NA,"NO",NA,NA,"Forest","2","1","Carnivore","Omnivore","Insessorial",-34.97,2.65,-12.44,141.7765163,1718124.83,"Extant"
"71",71,"Busarellus nigricollis","Accipitridae","Accipitriformes",6,1,2,3,5,40.8,27.1,12.5,17.6,76.1,393.5,105.9,283.1,27,199.8,766.14,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Aquatic predator","Insessorial",-34.19,23.94,-7.16,-59.47942905,12825637.87,"Extant"
"72",72,"Butastur indicus","Accipitridae","Accipitriformes",5,0,2,3,4,40.5,18.4,10.4,14.5,53.4,327.6,155.1,175.9,46.9,191.8,414.6,"Dunning",NA,"NO",NA,NA,"Woodland","2","3","Carnivore","Vertivore","Insessorial",30.99,52.35,44.31,129.8145826,1828306.34,"Extant"
"73",73,"Butastur liventer","Accipitridae","Accipitriformes",5,2,3,0,4,31.3,17,10.5,14,61.7,275,115.6,159.4,42,149,337.99,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Vertivore","Insessorial",-8.78,23.45,12.53,104.0965093,1357262.8,"Extant"
"74",74,"Butastur rufipennis","Accipitridae","Accipitriformes",5,2,3,0,4,28.7,16.3,10.3,12.3,58.4,311.2,143.5,170,45.8,181.4,334.87,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Invertivore","Insessorial",-6.49,19.11,12.64,11.75038402,3625177.22,"Extant"
"75",75,"Butastur teesa","Accipitridae","Accipitriformes",5,2,3,0,4,30.6,18,10.7,13.8,60.4,295.4,132,165,44.5,191,325,"Dunning",NA,"NO",NA,NA,"Woodland","3","1","Carnivore","Vertivore","Insessorial",8.07,35.29,23.18,78.91234416,3969936.2,"Extant"
"76",76,"Buteo albicaudatus","Accipitridae","Accipitriformes",4,1,2,1,4,37.4,22.3,13.8,16.4,87.3,427,148.1,279,34.8,199,885,"Dunning",NA,"NO",NA,NA,"Grassland","3","1","Carnivore","Vertivore","Generalist",-40.32,29.69,-11.82,-58.96840724,9466789.11,"Extant"
"77",77,"Buteo albigula","Accipitridae","Accipitriformes",6,4,2,0,5,27.9,17.9,11.4,15.2,57.9,291,109.6,181.4,37.6,182.2,524.99,"EltonTraits_Model",NA,"NO",NA,NA,"Forest","2","3","Carnivore","Vertivore","Generalist",-51.06,5.43,-24.5,-72.04861005,1021826.91,"Extant"
"78",78,"Buteo albonotatus","Accipitridae","Accipitriformes",5,1,3,1,3,35.1,21.1,12.7,16.9,70.4,398,159.7,236.7,40.3,217,745.92,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Aerial",-28.09,36.47,0.47,-69.6235871,7192504.19,"Extant"
"79",79,"Buteo archeri","Accipitridae","Accipitriformes",5,2,3,0,4,40.6,24.4,13,18.5,87.4,387,128.5,259.2,33.1,175.6,1099.2,"Inferred",NA,"YES","Body Mass","Buteo augur","Woodland","2","1","Carnivore","Vertivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"80",80,"Buteo augur","Accipitridae","Accipitriformes",9,4,5,0,4,43.9,24.5,13.7,19.3,90.4,423.1,129.7,295.8,30.5,195.6,1099.18,"Dunning",NA,"NO",NA,NA,"Woodland","2","1","Carnivore","Vertivore","Insessorial",NA,NA,NA,NA,NA,"Extant"
"81",81,"Buteo auguralis","Accipitridae","Accipitriformes",5,2,3,0,4,33.3,18.6,11.2,15.6,73.6,356.2,135.9,223.4,37.8,192.6,663.92,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-12.58,16.03,7.61,12.15085796,7045229.26,"Extant"
"82",82,"Buteo brachypterus","Accipitridae","Accipitriformes",5,2,3,0,4,33.6,19.7,11.5,16.4,63.1,315.4,100.1,215.2,31.7,184.4,511,"Dunning",NA,"NO",NA,NA,"Forest","1","1","Carnivore","Vertivore","Insessorial",-25.61,-11.95,-19.38,46.69900927,591120.44,"Extant"
